process_effort_s,process_workload_burnt,process_skill_use_s,triage_workload,elapsed_s,triage_count_red,triage_count_yellow,triage_count_green
6,0.014,5.0,0.0,1651761250,0,0,0
11,0.02,10.0,0.013,1651761260,0,0,1
13,0.022,6.5,0.0,1651761270,0,0,0
9,0.015,6.5,0.023,1651761280,1,0,0
10,0.027,11.0,0.045,1651761290,2,0,0
11,0.1,7.0,0.15,1651761300,0,2,10
7,0.0048,3.0,0.0,1651761310,0,0,0
14,0.023,11.0,0.023,1651761320,1,0,0
10,0.021,6.5,0.0,1651761330,0,0,0
11,0.026,9.0,0.023,1651761340,1,0,0
13,0.021,14.0,0.0,1651761350,0,0,0
11,0.024,7.5,0.0,1651761360,0,0,0
9,0.033,9.5,0.013,1651761370,0,0,1
12,0.02,6.0,0.0,1651761380,0,0,0
15,0.0096,11.0,0.0,1651761390,0,0,0
17,0.019,21.0,0.013,1651761400,0,0,1
13,0.0092,9.5,0.0,1651761410,0,0,0
13,0.022,14.0,0.028,1651761420,0,1,1
11,0.0037,6.0,0.0,1651761430,0,0,0
14,0.0076,14.0,0.0,1651761440,0,0,0
8,0.027,10.0,0.025,1651761450,0,0,2
9,0.013,6.0,0.025,1651761460,0,0,2
10,0.061,8.0,0.11,1651761470,0,0,9
16,0.016,13.0,0.025,1651761480,0,0,2
8,0.036,7.0,0.05,1651761490,0,0,4
15,0.009,12.0,0.0,1651761500,0,0,0
14,0.036,10.0,0.05,1651761510,0,0,4
15,0.0063,12.0,0.013,1651761520,0,0,1
11,0.015,9.0,0.025,1651761530,0,0,2
6,0.0085,5.0,0.013,1651761540,0,0,1
