process_effort_s,process_workload_burnt,process_skill_use_s,triage_workload,elapsed_s,triage_count_red,triage_count_yellow,triage_count_green
6,0.018,4.5,0.0,1651762300,0,0,0
2,0.0068,1.0,0.013,1651762310,0,0,1
7,0.0084,9.0,0.0,1651762320,0,0,0
7,0.021,6.0,0.035,1651762330,1,0,1
4,0.00081,4.0,0.0,1651762340,0,0,0
4,0.00061,1.0,0.0,1651762350,0,0,0
2,0.0078,2.0,0.015,1651762360,0,1,0
1,0.034,2.0,0.068,1651762370,3,0,0
7,0.013,4.5,0.0,1651762380,0,0,0
5,0.015,3.5,0.0,1651762390,0,0,0
10,0.085,9.0,0.14,1651762400,6,0,0
4,0.0012,4.0,0.0,1651762410,0,0,0
5,0.0,5.0,0.0,1651762420,0,0,0
10,0.011,10.0,0.013,1651762430,0,0,1
12,0.018,10.0,0.0,1651762440,0,0,0
6,0.024,3.5,0.013,1651762450,0,0,1
9,0.0081,7.0,0.0,1651762460,0,0,0
3,0.0078,2.0,0.015,1651762470,0,1,0
12,0.0017,5.0,0.0,1651762480,0,0,0
-6,0.0064,1.0,0.013,1651762490,0,0,1
1,0.0,0.0,0.0,1651762500,0,0,0
0,0.00061,0.0,0.0,1651762510,0,0,0
14,0.038,5.5,0.062,1651762520,0,0,5
-7,0.0002,1.0,0.0,1651762530,0,0,0
0,0.0003,1.0,0.0,1651762540,0,0,0
5,0.0079,3.0,0.0,1651762550,0,0,0
7,0.0049,6.5,0.0,1651762560,0,0,0
4,0.012,2.5,0.0,1651762570,0,0,0
0,0.0,0.0,0.0,1651762580,0,0,0
0,0.0,0.0,0.0,1651762590,0,0,0
