process_effort_s,process_workload_burnt,process_skill_use_s,triage_workload,elapsed_s,triage_count_red,triage_count_yellow,triage_count_green
7,0.016,3.0,0.0,1651761561,0,0,0
11,0.1,9.5,0.14,1651761571,0,0,11
8,0.017,10.0,0.0,1651761581,0,0,0
9,0.097,5.0,0.16,1651761591,7,0,0
9,0.014,7.0,0.0,1651761601,0,0,0
13,0.054,11.0,0.057,1651761611,0,3,1
11,0.038,12.0,0.0,1651761621,0,0,0
6,0.03,6.0,0.04,1651761631,0,1,2
9,0.029,12.0,0.037,1651761641,0,0,3
10,0.023,8.5,0.013,1651761651,0,0,1
5,0.048,5.5,0.087,1651761661,0,0,7
9,0.019,12.0,0.013,1651761671,0,0,1
11,0.029,10.0,0.013,1651761681,0,0,1
14,0.018,10.0,0.013,1651761691,0,0,1
9,0.0019,6.0,0.0,1651761701,0,0,0
9,0.0077,5.5,0.0,1651761711,0,0,0
18,0.053,23.0,0.075,1651761721,0,0,6
10,0.11,5.0,0.21,1651761731,0,9,6
13,0.031,9.0,0.025,1651761741,0,0,2
11,0.055,11.0,0.075,1651761751,0,0,6
11,0.0039,6.0,0.0,1651761761,0,0,0
8,0.023,7.0,0.037,1651761771,0,0,3
6,0.00091,0.0,0.0,1651761781,0,0,0
12,0.0025,8.0,0.0,1651761791,0,0,0
12,0.0003,9.0,0.0,1651761801,0,0,0
3,0.0,2.0,0.0,1651761811,0,0,0
2,0.0004,0.0,0.0,1651761821,0,0,0
2,0.00051,1.0,0.0,1651761831,0,0,0
7,0.0,3.0,0.0,1651761841,0,0,0
4,0.0001,2.0,0.0,1651761851,0,0,0
