inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
9,0,0,0,0,0,0.0,1651760454
6,0,0,0,0,0,1.0,1651760464
9,0,0,0,0,0,0.0,1651760474
10,0,0,0,0,0,0.0,1651760484
8,0,0,0,0,0,0.0,1651760494
10,0,0,0,0,0,0.0,1651760504
10,0,0,0,0,0,0.0,1651760514
6,0,0,0,0,3,0.0,1651760524
10,0,0,0,0,0,0.0,1651760534
8,0,0,0,0,3,0.0,1651760544
6,0,0,0,0,3,0.0,1651760554
11,0,0,0,0,0,0.0,1651760565
8,0,0,0,0,2,0.0,1651760574
5,0,0,0,0,3,1.0,1651760584
10,0,0,0,0,1,0.0,1651760594
7,0,0,0,0,1,1.0,1651760604
10,1,0,0,0,0,0.0,1651760614
10,0,0,0,0,1,0.0,1651760624
7,1,0,0,1,1,1.5,1651760634
4,0,0,0,0,3,3.0,1651760644
7,1,0,0,0,2,0.0,1651760654
7,1,0,0,1,1,1.5,1651760664
5,0,0,0,0,3,0.5,1651760675
5,4,0,0,2,2,0.0,1651760684
7,0,0,0,0,2,0.0,1651760694
10,3,0,0,1,0,0.0,1651760705
9,0,0,0,0,1,0.0,1651760715
6,2,0,0,1,2,0.5,1651760724
2,0,0,0,0,6,1.0,1651760734
9,1,0,0,1,0,0.0,1651760744
