process_effort_s,process_workload_burnt,process_skill_use_s,triage_workload,elapsed_s,triage_count_red,triage_count_yellow,triage_count_green
5,0.015,2.5,0.0,1651760767,0,0,0
4,0.012,3.0,0.0,1651760777,0,0,0
9,0.032,5.5,0.037,1651760787,0,0,3
6,0.025,4.0,0.045,1651760797,2,0,0
1,0.0003,1.0,0.0,1651760807,0,0,0
5,0.017,4.0,0.015,1651760817,0,1,0
9,0.066,8.0,0.068,1651760827,3,0,0
9,0.019,7.5,0.0,1651760837,0,0,0
14,0.085,8.0,0.15,1651760847,0,0,12
11,0.069,10.0,0.11,1651760857,2,0,5
12,0.027,10.0,0.025,1651760867,0,0,2
8,0.037,6.0,0.057,1651760877,0,3,1
7,0.0002,6.0,0.0,1651760887,0,0,0
11,0.028,14.0,0.0,1651760897,0,0,0
13,0.026,11.0,0.028,1651760907,0,1,1
5,0.016,2.0,0.03,1651760917,0,2,0
7,0.027,5.0,0.037,1651760927,0,0,3
3,0.036,3.0,0.065,1651760937,0,1,4
9,0.014,5.5,0.0,1651760947,0,0,0
11,0.03,9.0,0.025,1651760957,0,0,2
12,0.015,11.0,0.025,1651760967,0,0,2
9,0.031,5.0,0.05,1651760977,0,0,4
11,0.027,6.5,0.037,1651760987,0,0,3
12,0.021,9.5,0.013,1651760997,0,0,1
14,0.018,7.5,0.0,1651761007,0,0,0
5,0.021,5.0,0.037,1651761017,0,0,3
16,0.0059,5.0,0.0,1651761027,0,0,0
-5,0.0053,4.0,0.0,1651761037,0,0,0
4,0.0,0.0,0.0,1651761047,0,0,0
6,0.0,5.0,0.0,1651761057,0,0,0
