process_effort_s,process_workload_burnt,process_skill_use_s,triage_workload,elapsed_s,triage_count_red,triage_count_yellow,triage_count_green
3,0.0051,0.0,0.0,1651761990,0,0,0
0,0.0,0.0,0.0,1651762000,0,0,0
5,0.014,5.0,0.0,1651762010,0,0,0
4,0.0095,2.0,0.0,1651762020,0,0,0
4,0.013,2.0,0.023,1651762030,1,0,0
5,0.018,4.0,0.013,1651762040,0,0,1
4,0.0087,1.0,0.013,1651762050,0,0,1
2,0.011,2.5,0.0,1651762060,0,0,0
4,0.013,3.0,0.023,1651762070,1,0,0
3,0.008,2.0,0.015,1651762080,0,1,0
2,0.0021,0.0,0.0,1651762090,0,0,0
5,0.0088,4.0,0.0,1651762100,0,0,0
3,0.0048,2.5,0.0,1651762110,0,0,0
8,0.039,6.5,0.037,1651762120,0,0,3
5,0.023,3.0,0.042,1651762130,0,2,1
1,0.0071,2.0,0.0,1651762140,0,0,0
6,0.013,4.5,0.0,1651762150,0,0,0
3,0.0065,1.5,0.0,1651762160,0,0,0
3,0.0028,3.0,0.0,1651762170,0,0,0
7,0.04,3.5,0.062,1651762180,0,0,5
6,0.0064,5.0,0.0,1651762190,0,0,0
7,0.0097,6.0,0.0,1651762200,0,0,0
9,0.0097,3.0,0.0,1651762210,0,0,0
1,0.026,2.0,0.05,1651762220,0,0,4
5,0.00061,5.0,0.0,1651762230,0,0,0
11,0.021,9.0,0.025,1651762240,0,0,2
8,0.029,6.0,0.013,1651762250,0,0,1
6,0.0098,4.0,0.0,1651762260,0,0,0
3,0.0016,4.0,0.0,1651762270,0,0,0
10,0.012,8.0,0.0,1651762280,0,0,0
