process_effort_s,process_workload_burnt,process_skill_use_s,triage_workload,elapsed_s,triage_count_red,triage_count_yellow,triage_count_green
7,0.013,3.0,0.0,1651760455,0,0,0
11,0.017,6.0,0.0,1651760465,0,0,0
13,0.029,9.5,0.025,1651760475,0,0,2
7,0.065,9.0,0.11,1651760485,3,3,0
6,0.011,2.0,0.013,1651760495,0,0,1
7,0.051,5.0,0.09,1651760505,4,0,0
6,0.012,4.0,0.013,1651760515,0,0,1
7,0.0059,5.0,0.0,1651760525,0,0,0
7,0.027,4.5,0.023,1651760535,1,0,0
13,0.021,10.0,0.025,1651760545,0,0,2
9,0.016,8.0,0.023,1651760555,1,0,0
6,0.051,3.0,0.098,1651760565,1,5,0
10,0.022,5.0,0.0,1651760575,0,0,0
14,0.023,14.0,0.0,1651760585,0,0,0
9,0.014,4.0,0.015,1651760595,0,1,0
4,0.021,3.0,0.037,1651760605,0,0,3
8,0.024,7.5,0.013,1651760615,0,0,1
7,0.026,7.0,0.045,1651760625,0,3,0
11,0.024,8.0,0.013,1651760635,0,0,1
15,0.024,13.0,0.025,1651760645,0,0,2
12,0.023,9.0,0.013,1651760655,0,0,1
9,0.015,5.5,0.013,1651760665,0,0,1
10,0.025,3.5,0.025,1651760675,0,0,2
14,0.037,5.0,0.05,1651760685,0,0,4
7,0.0067,6.0,0.0,1651760695,0,0,0
5,0.045,4.0,0.087,1651760705,0,0,7
8,0.0059,3.0,0.0,1651760715,0,0,0
9,0.059,9.5,0.087,1651760725,0,0,7
19,0.016,10.0,0.0,1651760735,0,0,0
-2,0.0068,1.0,0.013,1651760747,0,0,1
