inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
7,0,0,0,0,0,2.5,1651760766
7,0,0,0,0,0,3.0,1651760776
8,1,0,0,1,0,1.0,1651760786
9,0,0,0,0,0,0.0,1651760796
10,0,0,0,0,0,0.0,1651760806
10,0,0,0,0,0,0.0,1651760816
10,0,0,0,0,0,0.0,1651760826
10,0,0,0,0,0,1.5,1651760836
6,8,0,0,2,0,0.0,1651760846
7,5,0,0,2,0,1.0,1651760856
7,2,0,0,2,0,0.0,1651760866
10,1,0,0,0,0,0.0,1651760876
10,0,0,0,0,0,1.0,1651760887
9,0,0,0,0,0,1.5,1651760896
9,1,0,0,1,0,0.0,1651760906
10,0,0,0,0,0,0.0,1651760916
6,0,0,0,0,0,1.0,1651760926
9,4,0,0,1,0,0.0,1651760936
10,0,0,0,0,0,0.0,1651760946
9,0,0,0,0,0,0.5,1651760956
9,2,0,0,1,0,0.0,1651760967
8,0,0,0,0,0,0.0,1651760976
5,0,0,0,0,0,1.5,1651760986
8,0,0,0,0,0,1.5,1651760996
7,0,0,0,0,0,1.5,1651761006
9,1,0,0,1,0,0.0,1651761016
11,0,0,0,0,0,0.0,1651761027
9,0,0,0,0,0,0.0,1651761036
11,0,0,0,0,0,0.0,1651761047
10,0,0,0,0,0,0.0,1651761057
