inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
8,0,0,0,0,0,1.0,1651761560
7,6,0,0,0,0,4.0,1651761570
10,0,0,0,0,0,6.0,1651761580
10,0,0,0,0,0,0.0,1651761590
5,0,0,0,0,5,1.0,1651761600
3,1,0,0,1,4,1.5,1651761610
6,0,0,0,0,5,1.5,1651761621
8,2,0,0,0,1,0.0,1651761630
5,3,0,0,1,3,1.0,1651761640
6,0,0,0,0,2,2.5,1651761650
6,7,0,0,1,3,1.5,1651761661
6,0,0,0,0,1,7.0,1651761670
5,1,0,0,1,4,0.5,1651761681
4,0,0,0,0,5,1.5,1651761691
5,0,0,0,0,1,0.0,1651761700
5,0,0,0,0,1,2.5,1651761710
2,2,0,0,0,3,10.5,1651761720
8,1,0,0,1,1,0.0,1651761730
5,1,0,0,1,1,2.0,1651761740
6,3,0,0,1,3,1.5,1651761750
1,0,0,0,0,5,0.0,1651761760
9,3,0,0,0,1,3.0,1651761770
10,0,0,0,0,0,0.0,1651761780
2,0,0,0,0,6,0.0,1651761790
4,0,0,0,0,5,0.0,1651761800
10,0,0,0,0,0,0.0,1651761810
10,0,0,0,0,0,0.0,1651761820
11,0,0,0,0,0,0.0,1651761831
5,0,0,0,0,3,0.0,1651761840
8,0,0,0,0,2,0.0,1651761851
