process_effort_s,process_workload_burnt,process_skill_use_s,triage_workload,elapsed_s,triage_count_red,triage_count_yellow,triage_count_green
3,0.0072,0.0,0.0,1651523535,0,0,0
0,0.0054,0.5,0.0,1651523545,0,0,0
9,0.014,7.5,0.0,1651523555,0,0,0
7,0.008,6.0,0.015,1651523565,0,1,0
4,0.052,3.5,0.09,1651523575,4,0,0
7,0.019,7.5,0.0,1651523585,0,0,0
4,0.027,4.0,0.045,1651523595,2,0,0
6,0.0093,5.0,0.015,1651523605,0,1,0
10,0.017,7.5,0.0,1651523615,0,0,0
7,0.023,4.5,0.0,1651523625,0,0,0
6,0.011,5.0,0.015,1651523635,0,1,0
13,0.023,12.0,0.035,1651523645,1,0,1
6,0.017,5.0,0.0,1651523655,0,0,0
10,0.012,11.0,0.0,1651523665,0,0,0
10,0.037,9.0,0.06,1651523675,0,4,0
13,0.015,10.0,0.0,1651523685,0,0,0
10,0.0083,10.0,0.0,1651523695,0,0,0
3,0.016,4.0,0.03,1651523705,0,2,0
11,0.0002,10.0,0.0,1651523715,0,0,0
8,0.0049,6.0,0.0,1651523725,0,0,0
5,0.004,0.5,0.0,1651523735,0,0,0
10,0.015,6.0,0.0,1651523745,0,0,0
9,0.025,7.0,0.025,1651523755,0,0,2
4,0.0085,5.0,0.013,1651523765,0,0,1
0,0.00051,0.0,0.0,1651523775,0,0,0
10,0.0015,9.0,0.0,1651523785,0,0,0
6,0.014,5.0,0.025,1651523795,0,0,2
0,0.0,0.0,0.0,1651523805,0,0,0
3,0.0,2.0,0.0,1651523815,0,0,0
9,0.00071,7.0,0.0,1651523825,0,0,0
