process_effort_s,process_workload_burnt,process_skill_use_s,triage_workload,elapsed_s,triage_count_red,triage_count_yellow,triage_count_green
7,0.0098,3.0,0.0,1651514963,0,0,0
6,0.028,3.5,0.0,1651514973,0,0,0
2,0.026,2.0,0.0,1651514983,0,0,0
5,0.022,3.0,0.03,1651514993,0,2,0
5,0.0058,3.0,0.0,1651515003,0,0,0
1,0.00051,0.0,0.0,1651515013,0,0,0
3,0.00091,4.0,0.0,1651515023,0,0,0
3,0.0073,1.0,0.0,1651515033,0,0,0
0,0.00071,0.0,0.0,1651515043,0,0,0
1,0.0001,0.0,0.0,1651515053,0,0,0
0,0.0,0.0,0.0,1651515063,0,0,0
0,0.0,0.0,0.0,1651515073,0,0,0
0,0.0,0.0,0.0,1651515083,0,0,0
0,0.0,0.0,0.0,1651515093,0,0,0
0,0.0,0.0,0.0,1651515103,0,0,0
1,0.00051,0.0,0.0,1651515113,0,0,0
0,0.0075,1.0,0.013,1651515123,0,0,1
3,0.016,3.0,0.03,1651515133,0,2,0
0,0.0003,0.0,0.0,1651515143,0,0,0
0,0.0,0.0,0.0,1651515153,0,0,0
1,0.002,0.0,0.0,1651515163,0,0,0
2,0.0063,1.0,0.013,1651515173,0,0,1
2,0.0096,0.0,0.0,1651515183,0,0,0
10,0.018,0.0,0.0,1651515193,0,0,0
2,0.0001,0.0,0.0,1651515203,0,0,0
0,0.0,0.0,0.0,1651515213,0,0,0
0,0.0018,0.0,0.0,1651515223,0,0,0
0,0.0015,0.0,0.0,1651515233,0,0,0
0,0.0,0.0,0.0,1651515243,0,0,0
0,0.0,0.0,0.0,1651515253,0,0,0
