process_effort_s,process_workload_burnt,process_skill_use_s,triage_workload,elapsed_s,triage_count_red,triage_count_yellow,triage_count_green
5,0.01,1.5,0.0,1651514660,0,0,0
0,0.0,0.0,0.0,1651514670,0,0,0
0,0.0,0.0,0.0,1651514680,0,0,0
0,0.0,0.0,0.0,1651514690,0,0,0
0,0.0,0.0,0.0,1651514700,0,0,0
0,0.0,0.0,0.0,1651514710,0,0,0
3,0.0096,2.0,0.0,1651514720,0,0,0
2,0.0033,2.0,0.0,1651514730,0,0,0
3,0.00091,2.0,0.0,1651514740,0,0,0
5,0.014,5.0,0.0,1651514750,0,0,0
2,0.0,1.0,0.0,1651514760,0,0,0
9,0.0067,7.0,0.0,1651514770,0,0,0
7,0.0056,6.0,0.0,1651514780,0,0,0
11,0.02,7.5,0.025,1651514790,0,0,2
6,0.021,3.0,0.028,1651514800,0,1,1
-1,0.0,0.0,0.0,1651514810,0,0,0
0,0.0,0.0,0.0,1651514820,0,0,0
0,0.0,0.0,0.0,1651514830,0,0,0
1,0.00051,1.0,0.0,1651514840,0,0,0
7,0.024,5.0,0.0,1651514850,0,0,0
16,0.0087,12.0,0.0,1651514860,0,0,0
9,0.025,10.0,0.025,1651514870,0,0,2
2,0.00081,0.0,0.0,1651514880,0,0,0
-1,0.0,0.0,0.0,1651514890,0,0,0
0,0.0,0.0,0.0,1651514900,0,0,0
0,0.0,0.0,0.0,1651514910,0,0,0
0,0.0,0.0,0.0,1651514920,0,0,0
0,0.0,0.0,0.0,1651514930,0,0,0
0,0.0,0.0,0.0,1651514940,0,0,0
1,0.0001,1.0,0.0,1651514950,0,0,0
