process_effort_s,process_workload_burnt,process_skill_use_s,triage_workload,elapsed_s,triage_count_red,triage_count_yellow,triage_count_green
6,0.012,1.5,0.0,1651515307,0,0,0
4,0.015,0.5,0.0,1651515317,0,0,0
1,0.008,1.0,0.013,1651515327,0,0,1
2,0.0035,1.0,0.0,1651515337,0,0,0
2,0.0023,0.5,0.0,1651515347,0,0,0
1,0.019,1.0,0.025,1651515357,0,0,2
0,0.00071,0.0,0.0,1651515367,0,0,0
10,0.012,7.0,0.015,1651515377,0,1,0
7,0.0052,4.5,0.0,1651515387,0,0,0
5,0.011,4.5,0.023,1651515397,1,0,0
3,0.0013,3.0,0.0,1651515407,0,0,0
6,0.01,7.0,0.015,1651515417,0,1,0
1,0.0093,1.0,0.013,1651515427,0,0,1
4,0.0065,2.0,0.0,1651515437,0,0,0
5,0.027,4.0,0.0,1651515447,0,0,0
3,0.0076,3.0,0.015,1651515457,0,1,0
1,0.0088,1.0,0.013,1651515467,0,0,1
7,0.017,4.0,0.0,1651515477,0,0,0
2,0.027,6.0,0.025,1651515487,0,0,2
4,0.014,3.0,0.013,1651515497,0,0,1
8,0.023,6.0,0.025,1651515507,0,0,2
5,0.016,4.5,0.013,1651515517,0,0,1
3,0.023,3.0,0.025,1651515527,0,0,2
0,0.00051,0.0,0.0,1651515537,0,0,0
6,0.0045,3.0,0.0,1651515547,0,0,0
11,0.0089,10.0,0.0,1651515557,0,0,0
3,0.0082,2.0,0.013,1651515567,0,0,1
7,0.025,6.0,0.037,1651515577,0,0,3
1,0.0,0.0,0.0,1651515587,0,0,0
4,0.0093,1.0,0.013,1651515597,0,0,1
