process_effort_s,process_workload_burnt,process_skill_use_s,triage_workload,elapsed_s,triage_count_red,triage_count_yellow,triage_count_green
6,0.0035,0.0,0.0,1651524539,0,0,0
11,0.014,9.5,0.0,1651524549,0,0,0
2,0.0053,1.5,0.0,1651524559,0,0,0
3,0.023,3.0,0.037,1651524569,0,0,3
3,0.012,3.0,0.023,1651524579,1,0,0
7,0.018,6.0,0.0,1651524589,0,0,0
10,0.016,9.0,0.028,1651524599,0,1,1
5,0.0031,4.0,0.0,1651524609,0,0,0
6,0.018,6.0,0.023,1651524619,1,0,0
8,0.024,11.0,0.0,1651524629,0,0,0
14,0.024,10.0,0.0,1651524639,0,0,0
8,0.0099,6.0,0.0,1651524649,0,0,0
11,0.0003,11.0,0.0,1651524659,0,0,0
0,0.0,0.0,0.0,1651524669,0,0,0
0,0.0,0.0,0.0,1651524679,0,0,0
0,0.0,0.0,0.0,1651524689,0,0,0
0,0.0,0.0,0.0,1651524699,0,0,0
3,0.014,2.0,0.025,1651524709,0,0,2
1,0.0063,1.0,0.013,1651524719,0,0,1
4,0.0,3.0,0.0,1651524729,0,0,0
6,0.014,6.0,0.0,1651524739,0,0,0
6,0.01,3.5,0.0,1651524749,0,0,0
0,0.026,0.0,0.05,1651524759,0,0,4
4,0.017,1.0,0.025,1651524769,0,0,2
5,0.0076,4.0,0.0,1651524779,0,0,0
5,0.036,4.0,0.05,1651524789,0,0,4
0,0.00091,2.0,0.0,1651524799,0,0,0
1,0.0067,0.0,0.013,1651524809,0,0,1
-1,0.0,0.0,0.0,1651524819,0,0,0
3,0.027,2.0,0.037,1651524829,0,0,3
