process_effort_s,process_workload_burnt,process_skill_use_s,triage_workload,elapsed_s,triage_count_red,triage_count_yellow,triage_count_green
4,0.0084,0.5,0.0,1651524236,0,0,0
5,0.015,5.0,0.0,1651524246,0,0,0
7,0.013,7.5,0.0,1651524256,0,0,0
10,0.014,8.5,0.013,1651524266,0,0,1
5,0.031,5.0,0.06,1651524276,2,1,0
6,0.0023,6.0,0.0,1651524286,0,0,0
10,0.002,10.0,0.0,1651524296,0,0,0
5,0.034,4.0,0.048,1651524306,1,0,2
9,0.0048,7.0,0.0,1651524316,0,0,0
7,0.011,7.0,0.015,1651524326,0,1,0
10,0.04,6.0,0.037,1651524336,0,0,3
8,0.014,10.0,0.0,1651524346,0,0,0
15,0.025,14.0,0.0,1651524356,0,0,0
15,0.011,12.0,0.0,1651524366,0,0,0
9,0.027,9.0,0.015,1651524376,0,1,0
10,0.023,7.0,0.015,1651524386,0,1,0
7,0.018,8.0,0.015,1651524396,0,1,0
10,0.0096,9.0,0.015,1651524406,0,1,0
6,0.0015,6.0,0.0,1651524416,0,0,0
7,0.0071,7.0,0.013,1651524426,0,0,1
9,0.064,7.0,0.11,1651524436,0,0,9
3,0.015,2.0,0.025,1651524446,0,0,2
5,0.012,6.5,0.013,1651524456,0,0,1
7,0.0064,7.0,0.013,1651524466,0,0,1
2,0.0,2.0,0.0,1651524476,0,0,0
9,0.0069,7.0,0.0,1651524486,0,0,0
5,0.013,5.5,0.0,1651524496,0,0,0
5,0.012,3.0,0.013,1651524506,0,0,1
4,0.01,3.0,0.013,1651524516,0,0,1
3,0.0046,4.0,0.0,1651524526,0,0,0
