process_effort_s,process_workload_burnt,process_skill_use_s,triage_workload,elapsed_s,triage_count_red,triage_count_yellow,triage_count_green
8,0.021,2.5,0.0,1651515611,0,0,0
10,0.028,9.5,0.025,1651515621,0,0,2
7,0.021,5.0,0.035,1651515631,1,0,1
0,0.0,0.0,0.0,1651515641,0,0,0
0,0.0,0.0,0.0,1651515651,0,0,0
0,0.0,0.0,0.0,1651515661,0,0,0
0,0.0,0.0,0.0,1651515671,0,0,0
0,0.0,0.0,0.0,1651515681,0,0,0
1,0.0,0.0,0.0,1651515691,0,0,0
0,0.0,0.0,0.0,1651515701,0,0,0
-1,0.0,0.0,0.0,1651515711,0,0,0
0,0.0,0.0,0.0,1651515721,0,0,0
0,0.0,0.0,0.0,1651515731,0,0,0
0,0.0,0.0,0.0,1651515741,0,0,0
1,0.0,0.0,0.0,1651515751,0,0,0
0,0.0,0.0,0.0,1651515761,0,0,0
0,0.0,0.0,0.0,1651515771,0,0,0
0,0.0,0.0,0.0,1651515781,0,0,0
-1,0.0,0.0,0.0,1651515791,0,0,0
12,0.024,11.0,0.0,1651515801,0,0,0
11,0.012,9.0,0.0,1651515811,0,0,0
14,0.0,12.0,0.0,1651515821,0,0,0
6,0.0036,2.0,0.0,1651515831,0,0,0
0,0.0,0.0,0.0,1651515841,0,0,0
3,0.0,3.0,0.0,1651515851,0,0,0
18,0.0,15.0,0.0,1651515861,0,0,0
9,0.0,7.0,0.0,1651515871,0,0,0
7,0.0,5.0,0.0,1651515881,0,0,0
0,0.0,0.0,0.0,1651515891,0,0,0
5,0.0,5.0,0.0,1651515901,0,0,0
