id,z,x,code,key
461,45,8,3,green
929,45,17,3,green
1226,30,23,3,green
1228,32,23,3,green
1302,2,25,3,green
1449,45,27,3,green
1682,18,32,3,green
1695,31,32,3,green
1773,5,34,3,green
2019,43,38,3,green
2190,6,42,3,green
2205,21,42,3,green
2372,32,45,3,green
2831,23,54,3,green
2838,30,54,3,green
2852,44,54,3,green
3409,29,65,3,green
4163,3,80,3,green
4320,4,83,3,green
4359,43,83,3,green
