inaction_stand_s,triage_count_green,triage_count_yellow,triage_count_red,action_triage_s,action_speedup_s,action_dig_rubble_s,previous_timestamp
7,0,0,0,0,2,0,1651760454
6,0,0,0,1,3,0,1651760465
4,2,0,0,2,3,0,1651760475
8,0,3,0,2,0,0,1651760485
7,1,0,0,1,1,0,1651760495
4,0,0,4,3,1,0,1651760504
7,0,0,0,0,2,0,1651760514
8,0,0,0,0,2,0,1651760525
7,0,0,0,0,1,0,1651760534
7,1,0,0,1,1,0,1651760545
6,0,0,0,4,0,0,1651760555
9,0,0,1,0,0,0,1651760564
7,0,0,0,0,0,0,1651760575
1,0,0,0,0,7,0,1651760584
5,0,1,0,3,1,0,1651760595
9,0,0,0,0,1,0,1651760605
4,0,0,0,0,5,0,1651760614
6,0,1,0,3,2,0,1651760625
4,0,0,0,0,5,0,1651760635
3,0,0,0,0,6,0,1651760645
3,0,0,0,0,5,0,1651760654
8,0,0,0,0,1,0,1651760664
4,0,0,0,0,0,0,1651760674
5,0,0,0,0,0,0,1651760684
5,0,0,0,0,4,0,1651760694
7,0,0,0,0,2,0,1651760704
7,0,0,0,0,1,0,1651760714
5,0,0,0,0,5,0,1651760725
7,0,0,0,0,3,0,1651760735
9,0,0,0,0,0,0,1651760744
